fid,Lat,Lon,TEM,East_wgs84_utm38S,North_wgs84_utm38S,Elevation_m
"1",-22.8558522402028,45.7923862423145,L2_02,"581293","7472219","902"
"2",-22.8559627242659,45.7913076222232,L2_01,"581182","7472207","903"
"3",-22.8549983250703,45.7906809818892,L1_02,"581118","7472314","898"
"4",-22.8563631788472,45.7903525054655,L1_01,"581084","7472163","902"
"5",-22.8570164894123,45.7900332462543,L1_03,"581051","7472091","903"
"6",-22.8568087632666,45.7902787570487,L1_03D,"581076","7472114","903"
"7",-22.8577377108036,45.7902157651611,L1_04,"581069","7472011","906"
"8",-22.8613300370065,45.7891339562189,L1_05,"580956","7471614","912"
"9",-22.862164568944,45.7879264096369,L1_07,"580831","7471523","911"
"10",-22.8586099700035,45.7901007935785,L1_06,"581057","7471915","908"
"11",-22.855687540122,45.7961274167058,L3_01,"581677","7472235","906"
"12",-22.8570894205935,45.7961049226039,L3_02,"581674","7472080","911"
"13",-22.8589375308579,45.7961370244832,L3_03,"581676","7471875","914"
"14",-22.8607035079055,45.7966121702448,L3_04,"581723","7471679","916"
"15",-22.8665662880561,45.7931079140063,L4_05,"581360","7471032","917"
"16",-22.8669902254467,45.7893820825715,L4_04,"580978","7470987","913"
"17",-22.854312430076,45.7959660549453,L3_05,"581661","7472387","902"
"18",-22.8554863256665,45.7946254640256,L2_03,"581523","7472258","904"
"19",-22.8556699017764,45.7954838248304,L2_04,"581611","7472237","906"
"20",-22.856095290253,45.794730689851,L2_05,"581533","7472191","906"
"21",-22.8644836745514,45.795850246552,L4_06,"581643","7471261","918"
"22",-22.8642486057427,45.7972487487688,L4_01,"581787","7471287","920"
"23",-22.8649958823753,45.7962391829898,L4_02,"581683","7471204","919"
"24",-22.8660399759332,45.7940552119638,L4_03,"581458","7471090","917"
"25",-22.8697740294623,45.7916842392243,L5_02,"581212","7470678","913"
"26",-22.8700570614892,45.7897254353705,L5_01,"581011","7470648","910"
"27",-22.8560686831355,45.7935366628025,L2_07,"581411","7472194","904"
"28",-22.856052904035,45.794050807421,L2_06,"581463","7472196","905"
"29",-22.8671335792854,45.7862981323189,L1_12,"580661","7470973","907"
"30",-22.8656450628928,45.7862650968359,L1_11,"580659","7471138","906"
"31",-22.8640606676403,45.7868484462748,L1_10,"580720","7471313","909"
"32",-22.8548676210945,45.7866956900778,L1_09,"580709","7472331","898"
"33",-22.8700548938785,45.7936959307165,L5_03,"581419","7470646","914"
"34",-22.871389650821,45.7960786108637,L5_04,"581662","7470497","916"
"35",-22.871563380414,45.7981012087067,L5_05,"581870","7470476","918"
"36",-22.8625832095978,45.7967985848532,L3_06,"581741","7471471","920"
"37",-22.8616540036959,45.7955729572,L3_07,"581616","7471575","917"
"38",-22.8627380853167,45.7989998375602,L4_07,"581967","7471453","920"
"39",-22.8621830035816,45.8009745323494,L4_08,"582170","7471513","920"
"40",-22.8623591170108,45.8012417831376,L4_08C,"582197","7471494","921"
"41",-22.8604046302686,45.7899669073867,L1_08C-D,"581042","7471716","912"
